tr2020gj,tr2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010404102,06001404102,G0600010404102,06001404102,1,1,1,1,1,1,1,1
G0600010404200,06001404200,G0600010404101,06001404101,0.0014606566,0.0051358832,0.0057405752,0.0055059995,0.0068565276,0.0065340907,0.0068237687,0.007002195
G0600010404200,06001404200,G0600010404200,06001404200,0.9944234805,0.9914973748,0.9905222878,0.9908402713,0.9887559128,0.9892752892,0.9887538068,0.9887652777
G0600010404200,06001404200,G0600010426100,06001426100,0.0041158629,0.003366742,0.0037371371,0.0036537293,0.0043875595,0.0041906202,0.0044224246,0.0042325273
G0600010404300,06001404300,G0600010404300,06001404300,0.9989548862,1,1,1,1,1,1,1
G0600010404300,06001404300,G0600010404400,06001404400,0.0010451138,0,0,0,0,0,0,0
G0600010404400,06001404400,G0600010404400,06001404400,0.9961986022,0.9998855872,0.9998900213,0.9998590066,0.9998887328,0.9998927329,0.9998645872,1
G0600010404400,06001404400,G0600010404501,06001404501,0.0022563726,0,0,0,0,0,0,0
G0600010404400,06001404400,G0600130353001,06013353001,0.0015450252,0.0001144128,0.0001099787,0.0001409934,0.0001112672,0.0001072671,0.0001354128,0
G0600010404501,06001404501,G0600010404501,06001404501,0.9965491135,0.9947851689,0.9948853037,0.999866298,0.9998711111,0.9984661096,0.9998505667,1
G0600010404501,06001404501,G0600010404700,06001404700,0.003367487,0.0050818746,0.0049928673,0,0,0.0014084507,0,0
G0600010404501,06001404501,G0600010426100,06001426100,0.0000833995,0.0001329564,0.000121829,0.000133702,0.0001288889,0.0001254397,0.0001494333,0
G0600010404502,06001404502,G0600010404502,06001404502,0.9943176118,0.998795158,0.9986440117,0.9986742991,0.9987093477,0.9987473472,0.9987313132,0.9985913535
G0600010404502,06001404502,G0600130352202,06013352202,0.0044346071,0.0004218884,0.0004746716,0.0004642272,0.0004527637,0.0004386424,0.0004446535,0.0004963299
G0600010404502,06001404502,G0600130353001,06013353001,0.0012477812,0.0007829536,0.0008813167,0.0008614737,0.0008378886,0.0008140104,0.0008240333,0.0009123166
G0600010404600,06001404600,G0600010404502,06001404502,0.0049238281,0.0097149351,0.0096411284,0.0077424337,0.0080434232,0.0093542877,0.0089107561,0
G0600010404600,06001404600,G0600010404600,06001404600,0.9928916307,0.9902584973,0.9903372985,0.9922347877,0.9919398615,0.9906295506,0.991070726,1
G0600010404600,06001404600,G0600010430102,06001430102,0.0013509879,0.0000259371,0.0000209458,0.0000220883,0.0000160468,0.0000155152,0.0000177771,0
G0600010404600,06001404600,G0600130352202,06013352202,0.0008335534,0.0000006304,0.0000006273,0.0000006903,0.0000006686,0.0000006465,0.0000007407,0
G0600010404700,06001404700,G0600010404700,06001404700,1,1,1,1,1,1,1,1
G0600010404800,06001404800,G0600010404800,06001404800,1,1,1,1,1,1,1,1
G0600010404900,06001404900,G0600010404900,06001404900,1,1,1,1,1,1,1,1
G0600010405000,06001405000,G0600010405000,06001405000,0.9996240691,1,1,1,1,1,1,1
G0600010405000,06001405000,G0600010405200,06001405200,0.0003759309,0,0,0,0,0,0,0
G0600010405100,06001405100,G0600010405100,06001405100,1,1,1,1,1,1,1,1
G0600010405200,06001405200,G0600010405200,06001405200,1,1,1,1,1,1,1,1
G0600010405301,06001405301,G0600010405301,06001405301,1,1,1,1,1,1,1,1
G0600010405302,06001405302,G0600010405302,06001405302,1,1,1,1,1,1,1,1
G0600010405401,06001405401,G0600010405401,06001405401,1,1,1,1,1,1,1,1
G0600010405402,06001405402,G0600010405402,06001405402,1,1,1,1,1,1,1,1
G0600010405500,06001405500,G0600010405500,06001405500,1,1,1,1,1,1,1,1
G0600010405600,06001405600,G0600010405600,06001405600,1,1,1,1,1,1,1,1
G0600010405700,06001405700,G0600010405700,06001405700,1,1,1,1,1,1,1,1
G0600010405800,06001405800,G0600010405800,06001405800,1,1,1,1,1,1,1,1
G0600010405901,06001405901,G0600010405901,06001405901,1,1,1,1,1,1,1,1
G0600010405902,06001405902,G0600010405902,06001405902,1,1,1,1,1,1,1,1
G0600010406000,06001406000,G0600010403300,06001403300,0.0003737612,0,0,0,0,0,0,0
G0600010406000,06001406000,G0600010406000,06001406000,0.9996262388,1,1,1,1,1,1,1
G0600010406000,06001406000,G0600010427300,06001427300,0,0,0,0,0,0,0,0
G0600010406100,06001406100,G0600010406000,06001406000,0.0001854623,0,0,0,0,0,0,0
G0600010406100,06001406100,G0600010406100,06001406100,0.9998145377,1,1,1,1,1,1,1
G0600010406201,06001406201,G0600010406201,06001406201,1,1,1,1,1,1,1,1
G0600010406202,06001406202,G0600010406202,06001406202,1,1,1,1,1,1,1,1
G0600010406300,06001406300,G0600010406300,06001406300,1,1,1,1,1,1,1,1
G0600010406400,06001406400,G0600010406400,06001406400,1,1,1,1,1,1,1,1
G0600010406500,06001406500,G0600010406500,06001406500,1,1,1,1,1,1,1,1
G0600010406601,06001406601,G0600010406601,06001406601,1,1,1,1,1,1,1,1
G0600010406602,06001406602,G0600010406602,06001406602,1,1,1,1,1,1,1,1
G0600010406700,06001406700,G0600010406700,06001406700,1,1,1,1,1,1,1,1
G0600010406800,06001406800,G0600010406800,06001406800,1,1,1,1,1,1,1,1
G0600010406900,06001406900,G0600010406900,06001406900,1,1,1,1,1,1,1,1
G0600010407000,06001407000,G0600010407000,06001407000,1,1,1,1,1,1,1,1
G0600010407101,06001407101,G0600010407101,06001407101,1,1,1,1,1,1,1,1
G0600010407102,06001407102,G0600010407102,06001407102,1,1,1,1,1,1,1,1
G0600010407200,06001407200,G0600010407200,06001407200,1,1,1,1,1,1,1,1
G0600010407300,06001407300,G0600010407300,06001407300,1,1,1,1,1,1,1,1
G0600010407400,06001407400,G0600010407400,06001407400,1,1,1,1,1,1,1,1
G0600010407500,06001407500,G0600010407500,06001407500,1,1,1,1,1,1,1,1
G0600010407600,06001407600,G0600010407600,06001407600,1,1,1,1,1,1,1,1
G0600010407700,06001407700,G0600010407700,06001407700,0.9999846875,0.9999730162,0.9999775046,0.9999727368,0.9999756601,0.9999764785,0.9999679899,1
G0600010407700,06001407700,G0600010407800,06001407800,0.0000153125,0.0000269838,0.0000224954,0.0000272632,0.0000243399,0.0000235215,0.0000320101,0
G0600010407800,06001407800,G0600010407700,06001407700,0.0030505073,0.0002271952,0.0002550926,0.0003453975,0.0003415648,0.0003238102,0.0003177733,0.0003860291
G0600010407800,06001407800,G0600010407800,06001407800,0.9969494927,0.9997728048,0.9997449074,0.9996546025,0.9996584352,0.9996761898,0.9996822267,0.9996139709
G0600010407900,06001407900,G0600010407900,06001407900,1,1,1,1,1,1,1,1
G0600010408000,06001408000,G0600010408000,06001408000,0.9814982642,0.999843105,0.9998308986,0.9998545557,0.9998372253,0.9998436993,0.9998065023,1
G0600010408000,06001408000,G0600010430102,06001430102,0.0185017358,0.000156895,0.0001691014,0.0001454443,0.0001627747,0.0001563007,0.0001934977,0
G0600010408100,06001408100,G0600010408100,06001408100,0.9769460266,0.9995146676,0.9995326022,0.9996761354,0.9996916616,0.9995974422,0.999631552,0.9999385834
G0600010408100,06001408100,G0600010430102,06001430102,0.0230539734,0.0004853324,0.0004673978,0.0003238646,0.0003083384,0.0004025578,0.000368448,0.0000614166
G0600010408200,06001408200,G0600010408200,06001408200,1,1,1,1,1,1,1,1
G0600010408300,06001408300,G0600010407800,06001407800,0.0108170655,0,0,0,0,0,0,0
G0600010408300,06001408300,G0600010408300,06001408300,0.9891829345,1,1,1,1,1,1,1
G0600010408400,06001408400,G0600010408400,06001408400,1,1,1,1,1,1,1,1
G0600010408500,06001408500,G0600010408500,06001408500,1,1,1,1,1,1,1,1
G0600010408600,06001408600,G0600010408600,06001408600,1,1,1,1,1,1,1,1
G0600010408700,06001408700,G0600010408600,06001408600,0.0018378736,0,0,0,0,0,0,0
G0600010408700,06001408700,G0600010408700,06001408700,0.9981621264,1,1,1,1,1,1,1
G0600010408800,06001408800,G0600010408800,06001408800,1,1,1,1,1,1,1,1
G0600010408900,06001408900,G0600010408800,06001408800,0.0300824496,0.0077780659,0.0077931279,0.0014367816,0.0009551098,0.0009099181,0.0033670034,0
G0600010408900,06001408900,G0600010408900,06001408900,0.9699175504,0.9922219341,0.9922068721,0.9985632184,0.9990448902,0.9990900819,0.9966329966,1
G0600010409000,06001409000,G0600010409000,06001409000,0.9731159753,1,1,1,1,1,1,1
G0600010409000,06001409000,G0600010428301,06001428301,0.0245417925,0,0,0,0,0,0,0
G0600010409000,06001409000,G0600010432400,06001432400,0.0023422322,0,0,0,0,0,0,0
G0600010409100,06001409100,G0600010409100,06001409100,1,1,1,1,1,1,1,1
G0600010409200,06001409200,G0600010409200,06001409200,0.9995272276,0.9993899415,0.9993654096,0.9993329723,0.9992960555,0.9993142924,0.9989896626,0.9996427449
G0600010409200,06001409200,G0600010432502,06001432502,0.0004727724,0.0006100585,0.0006345904,0.0006670277,0.0007039445,0.0006857076,0.0010103374,0.0003572551
G0600010409300,06001409300,G0600010409300,06001409300,1,1,1,1,1,1,1,1
G0600010409400,06001409400,G0600010409400,06001409400,1,1,1,1,1,1,1,1
G0600010409500,06001409500,G0600010409500,06001409500,1,1,1,1,1,1,1,1
G0600010409600,06001409600,G0600010409600,06001409600,1,1,1,1,1,1,1,1
G0600010409700,06001409700,G0600010409700,06001409700,1,1,1,1,1,1,1,1
G0600010409800,06001409800,G0600010409800,06001409800,1,1,1,1,1,1,1,1
G0600010409900,06001409900,G0600010409900,06001409900,0.9989425797,1,1,1,1,1,1,1
G0600010409900,06001409900,G0600010430102,06001430102,0.0010574203,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010410000,06001410000,0.9930332423,0.9996717811,0.999643239,0.9996273275,0.9995895695,0.9995961205,0.9995259528,1
G0600010410000,06001410000,G0600010430102,06001430102,0,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010430400,06001430400,0.0015550376,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010432100,06001432100,0.0035255864,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010432800,06001432800,0.0018861337,0.0003282189,0.000356761,0.0003726725,0.0004104305,0.0004038795,0.0004740472,0
G0600010410100,06001410100,G0600010410000,06001410000,0.0303525119,0,0,0,0,0,0,0
G0600010410100,06001410100,G0600010410100,06001410100,0.9696474881,1,1,1,1,1,1,1
G0600010410200,06001410200,G0600010410200,06001410200,1,1,1,1,1,1,1,1
G0600010410300,06001410300,G0600010410300,06001410300,1,1,1,1,1,1,1,1
G0600010410400,06001410400,G0600010410400,06001410400,1,1,1,1,1,1,1,1
G0600010410500,06001410500,G0600010410500,06001410500,1,1,1,1,1,1,1,1
G0600010420100,06001420100,G0600010420100,06001420100,0.962190454,0.9651491672,0.965510235,0.9715863554,0.9738845331,0.9720538381,0.9658011896,0.9983141935
G0600010420100,06001420100,G0600010420200,06001420200,0.0068340572,0,0,0,0,0,0,0
G0600010420100,06001420100,G0600010421300,06001421300,0.0309754888,0.0348508328,0.034489765,0.0284136446,0.0261154669,0.0279461619,0.0341988104,0.0016858065
G0600010420200,06001420200,G0600010420200,06001420200,1,1,1,1,1,1,1,1
G0600010420301,06001420301,G0600010420300,06001420300,1,1,1,1,1,1,1,1
G0600010420302,06001420302,G0600010420300,06001420300,0.9999977015,1,1,1,1,1,1,1
G0600010420302,06001420302,G0600010420400,06001420400,0.0000022985,0,0,0,0,0,0,0
G0600010420401,06001420401,G0600010420400,06001420400,0.9715191932,0.8747651847,0.8578754579,0.8571428571,0.6102449889,0.6317991632,0.125,0.619047619
G0600010420401,06001420401,G0600010422000,06001422000,0.0284808068,0.1252348153,0.1421245421,0.1428571429,0.3897550111,0.3682008368,0.875,0.380952381
G0600010420402,06001420402,G0600010420300,06001420300,0.0013627265,0,0,0,0,0,0,0
G0600010420402,06001420402,G0600010420400,06001420400,0.9921931203,0.9655661523,0.9649632945,0.9949405763,0.9955948203,0.9955492376,1,0.9955876458
G0600010420402,06001420402,G0600010422000,06001422000,0.0064441532,0.0344338477,0.0350367055,0.0050594237,0.0044051797,0.0044507624,0,0.0044123542
G0600010420500,06001420500,G0600010420500,06001420500,0.9864336482,0.992800325,0.9928943291,0.9926515502,0.9937500351,0.9927588997,0.9899797501,0.997239305
G0600010420500,06001420500,G0600010420600,06001420600,0.0032472777,0.0002274672,0.000236959,0.0002223559,0.0002174263,0.0002055111,0.0003138849,0.0001281572
G0600010420500,06001420500,G0600010421900,06001421900,0.0103190741,0.0069722078,0.0068687119,0.0071260939,0.0060325386,0.0070355892,0.009706365,0.0026325378
G0600010420600,06001420600,G0600010420600,06001420600,0.9840038317,0.983643424,0.9847991356,0.984784403,0.9855980756,0.9856174115,0.9856442284,0.9854641638
G0600010420600,06001420600,G0600010421300,06001421300,0.0072294957,0.0057967243,0.0058077303,0.0058526984,0.0057393253,0.0055401021,0.0071314118,0.0017001969
G0600010420600,06001420600,G0600010421900,06001421900,0.0087666726,0.0105598517,0.0093931341,0.0093628987,0.008662599,0.0088424864,0.0072243598,0.0128356393
G0600010421100,06001421100,G0600010421100,06001421100,1,1,1,1,1,1,1,1
G0600010421200,06001421200,G0600010421200,06001421200,1,1,1,1,1,1,1,1
G0600010421300,06001421300,G0600010420600,06001420600,0.0027794382,0.0006347362,0.0006882124,0.000891605,0.000774167,0.0007418726,0.0004262912,0.0022300108
G0600010421300,06001421300,G0600010421300,06001421300,0.9972205618,0.9993652638,0.9993117876,0.999108395,0.999225833,0.9992581274,0.9995737088,0.9977699892
G0600010421400,06001421400,G0600010421400,06001421400,1,1,1,1,1,1,1,1
G0600010421500,06001421500,G0600010421500,06001421500,1,1,1,1,1,1,1,1
G0600010421600,06001421600,G0600010421600,06001421600,0.9935280701,0.999961269,0.999961979,0.9999552288,0.9999573796,0.9999603612,0.9999566214,0.99995962
G0600010421600,06001421600,G0600010422600,06001422600,0.0064719299,0.000038731,0.000038021,0.0000447712,0.0000426204,0.0000396388,0.0000433786,0.00004038
G0600010421700,06001421700,G0600010421700,06001421700,1,1,1,1,1,1,1,1
G0600010421800,06001421800,G0600010421800,06001421800,1,1,1,1,1,1,1,1
G0600010421900,06001421900,G0600010420500,06001420500,0.0012259485,0.0020583539,0.0018556888,0.0015584422,0.0013507732,0.0022885833,0.0009368164,0.0020376685
G0600010421900,06001421900,G0600010420600,06001420600,0.0002307528,0.0000399314,0.0000428441,0.0000500322,0.000045461,0.0000483198,0.0000289776,0.0000728126
G0600010421900,06001421900,G0600010421900,06001421900,0.9985432987,0.9979017148,0.9981014672,0.9983915256,0.9986037658,0.9976630969,0.999034206,0.9978895189
G0600010422000,06001422000,G0600010422000,06001422000,0.9990651876,1,1,1,1,1,1,1
G0600010422000,06001422000,G0600010425102,06001425102,0.0009348124,0,0,0,0,0,0,0
G0600010422100,06001422100,G0600010422100,06001422100,1,1,1,1,1,1,1,1
G0600010422200,06001422200,G0600010422200,06001422200,1,1,1,1,1,1,1,1
G0600010422300,06001422300,G0600010422300,06001422300,1,1,1,1,1,1,1,1
G0600010422400,06001422400,G0600010422400,06001422400,1,1,1,1,1,1,1,1
G0600010422500,06001422500,G0600010422500,06001422500,0.9876398147,0.9999905971,0.9999906012,0.9999812919,0.9999918745,0.9999839735,0.9999534794,1
G0600010422500,06001422500,G0600010422600,06001422600,0.0123601853,0.0000094029,0.0000093988,0.0000187081,0.0000081255,0.0000160265,0.0000465206,0
G0600010422700,06001422700,G0600010400100,06001400100,0.0148925471,0.0017894891,0.0016425922,0.0041905153,0.0027245181,0.0025223614,0.0153972651,0.0010218208
G0600010422700,06001422700,G0600010422700,06001422700,0.9851074529,0.9982105109,0.9983574078,0.9958094847,0.9972754819,0.9974776386,0.9846027349,0.9989781792
G0600010422800,06001422800,G0600010422800,06001422800,1,1,1,1,1,1,1,1
G0600010422901,06001422901,G0600010422900,06001422900,1,1,1,1,1,1,1,1
