,medhinc23,medhval23,medrent23,totpop23,GEOID,totpop19,medhval19,medrent19,medhinc19,GENTRIFICATION
309,57273.0,560100.0,1772.0,7161,06073011802,7381.0,379300.0,1225.0,44624.0,-0.002315389132480687
310,76685.0,592300.0,2308.0,6135,06073011902,5675.0,400107.0,2075.0,73926.0,0.07539457170160138
311,38973.0,628200.0,1290.0,3319,06073012002,3548.0,395200.0,870.0,27101.0,-0.010528205236403734
312,93438.0,570100.0,1541.0,2899,06073012003,3336.0,432100.0,1304.0,73421.0,0.08755824531507433
313,93824.0,636600.0,1329.0,2193,06073012101,2104.0,442000.0,1023.0,45688.0,-0.07488969912020688
314,70125.0,564400.0,1700.0,2753,06073012102,3385.0,364300.0,1257.0,52321.0,0.032130391147383836
315,60500.0,564300.0,1796.0,3355,06073012200,3657.0,337100.0,1383.0,52557.0,0.025683925666365036
316,44750.0,537500.0,1720.0,1533,06073012302,1866.0,410905.0,1109.0,28492.0,0.010662603092368796
317,75024.0,691400.0,2192.0,3847,06073012303,3242.0,569600.0,1622.0,64231.0,0.010619667051973217
318,90300.0,784400.0,2255.0,4427,06073012304,3696.0,483800.0,1539.0,75508.0,-0.09934568029913006
319,81538.0,422400.0,1755.0,3151,06073012401,3532.0,368600.0,1203.0,49077.0,-0.002737803594802808
320,64018.0,561300.0,1707.0,5448,06073012402,5107.0,411700.0,1320.0,50804.0,0.0210698467524865
321,43125.0,37000.0,1631.0,3980,06073012501,3283.0,24000.0,1271.0,31554.0,-0.026302915547391902
322,65625.0,,1791.0,4830,06073012502,4330.0,0.0,1260.0,45941.0,
323,78017.0,567700.0,1809.0,4700,06073012600,4798.0,429800.0,1440.0,52423.0,0.024951447976836974
324,67961.0,568300.0,1725.0,4882,06073012700,4710.0,445200.0,1190.0,42421.0,-0.005760089695265928
325,84185.0,640200.0,1802.0,3797,06073012800,4406.0,456800.0,1194.0,66676.0,0.021965384267022752
326,103438.0,640300.0,2590.0,3741,06073012900,3471.0,466200.0,1897.0,84960.0,-0.0010369640226270127
327,72700.0,627400.0,1962.0,5526,06073013000,6061.0,449400.0,1446.0,60208.0,0.030013121445637066
328,64619.0,589300.0,2096.0,6868,06073013102,6385.0,420000.0,1531.0,56464.0,0.006253292856790826
329,73333.0,,2165.0,2485,06073013103,2506.0,0.0,1589.0,48603.0,
330,54750.0,688400.0,1791.0,5718,06073013104,6473.0,443000.0,1456.0,52222.0,0.04758773296612654
331,52014.0,674100.0,1642.0,6020,06073013203,5992.0,375500.0,1166.0,36383.0,-0.0701441921739707
332,61852.0,,1809.0,4522,06073013204,3970.0,77100.0,1363.0,40987.0,
333,61786.0,87900.0,1754.0,2182,06073013205,2431.0,73200.0,1437.0,52375.0,0.057459755954824915
334,52622.0,217100.0,1622.0,5999,06073013206,7185.0,110300.0,1212.0,42518.0,0.046404499895154244
335,106645.0,663100.0,2461.0,4860,06073013301,5205.0,454800.0,1853.0,73977.0,-0.01875357747068554
336,100772.0,644700.0,2163.0,7029,06073013302,4773.0,459300.0,1784.0,65278.0,-0.08433400272617972
337,71750.0,459700.0,2005.0,4593,06073013303,5111.0,378800.0,1610.0,59637.0,0.07344443225140687
338,86563.0,636200.0,2157.0,4066,06073013306,4517.0,426000.0,1811.0,74154.0,0.06795865307960308
339,80156.0,596000.0,2068.0,4538,06073013307,4780.0,427000.0,1788.0,88795.0,0.14554883227083182
340,95725.0,462100.0,1863.0,3885,06073013308,3669.0,291400.0,1637.0,65893.0,0.008623663739197457
341,140882.0,690200.0,2718.0,7211,06073013309,6565.0,520000.0,2230.0,94643.0,-0.011983345222847233
342,97188.0,531300.0,2262.0,2794,06073013312,2549.0,353800.0,1770.0,71719.0,-0.0048523383163947345
343,139476.0,738700.0,2466.0,3893,06073013315,3999.0,536900.0,2539.0,102118.0,0.07845546308994411
344,141364.0,675000.0,3039.0,7733,06073013316,7838.0,538541.0,2534.0,101957.0,0.03763859682508516
345,139464.0,745100.0,2829.0,16919,06073013317,5998.0,508000.0,2357.0,120247.0,-0.004719252859884865
346,151302.0,663800.0,2854.0,7687,06073013318,13691.0,508000.0,2357.0,120247.0,0.05934313683750558
347,145256.0,745200.0,2756.0,8534,06073013319,5802.0,564800.0,2400.0,120786.0,0.01842057201479906
348,123000.0,693500.0,3103.0,6850,06073013320,7293.0,564800.0,2400.0,120786.0,0.09489905765730726
349,148068.0,767000.0,2682.0,8375,06073013321,9253.0,564800.0,2400.0,120786.0,0.07123845579539859
350,166563.0,940900.0,2947.0,4594,06073013322,5014.0,569200.0,2306.0,97956.0,-0.06541804693876258
351,167715.0,756700.0,2255.0,7172,06073013323,6524.0,569066.0,2308.0,97977.0,0.0446091359990073
352,125244.0,663500.0,3017.0,2349,06073013324,2787.0,569200.0,2306.0,97956.0,0.07376435083470831
353,82529.0,741000.0,2833.0,5764,06073013325,5574.0,569200.0,2306.0,97956.0,0.1302600906954134
354,179425.0,1019000.0,2772.0,3860,06073013326,4915.0,567372.0,2248.0,97327.0,-0.03920604191963961
355,144328.0,863800.0,2359.0,5851,06073013327,5771.0,569200.0,2306.0,97956.0,0.01955587145608567
356,134358.0,740300.0,3010.0,4670,06073013401,4374.0,481200.0,1958.0,79053.0,-0.14885837734490504
357,108590.0,712400.0,2425.0,6105,06073013409,5421.0,530600.0,2037.0,89708.0,0.026359310500185293
358,158802.0,955000.0,3167.0,4838,06073013411,5160.0,668400.0,2384.0,99974.0,-0.026129874908786876
359,119348.0,827200.0,2480.0,5177,06073013412,4691.0,609900.0,1861.0,103981.0,0.00870181612435228
360,143600.0,740900.0,,7570,06073013414,7428.0,561500.0,2427.0,111132.0,
361,160804.0,681100.0,2509.0,1497,06073013415,1302.0,458100.0,2147.0,103587.0,-0.012463031481845688
362,122210.0,728900.0,2718.0,4411,06073013416,4261.0,563300.0,2125.0,99167.0,0.02667103232791465
363,152700.0,875400.0,3501.0,2140,06073013417,2071.0,614300.0,3107.0,135577.0,0.02496787581813733
364,82440.0,701400.0,2685.0,5874,06073013418,6702.0,438291.0,1792.0,86790.0,0.01304396542376629
365,127222.0,742500.0,2874.0,3202,06073013420,3468.0,534500.0,2223.0,92813.0,0.008275966525630216
366,145000.0,878200.0,2704.0,4133,06073013421,4488.0,564000.0,2387.0,97548.0,-0.002517171418565653
367,149167.0,929400.0,,4213,06073013422,3683.0,648800.0,1900.0,119016.0,
368,144375.0,782500.0,2737.0,3315,06073013423,4018.0,648800.0,1900.0,119016.0,0.07337841406871876
369,160263.0,820500.0,3112.0,6647,06073013424,6418.0,612733.0,2447.0,118473.0,0.01005289772917925
370,188339.0,1222000.0,,1987,06073013425,2454.0,613300.0,2449.0,118579.0,
371,99470.0,660600.0,2154.0,5992,06073013503,6265.0,497400.0,1432.0,64089.0,-0.051086704410987366
372,138304.0,669300.0,2287.0,3991,06073013504,3789.0,521600.0,2239.0,101094.0,0.07772038630770135
373,122422.0,613400.0,2344.0,5948,06073013505,5676.0,434500.0,1782.0,73421.0,-0.07261254251505857
374,102031.0,,1740.0,4330,06073013506,4103.0,353800.0,1722.0,71000.0,
375,114656.0,814000.0,1887.0,5475,06073013601,5799.0,608300.0,1386.0,93015.0,0.034586209805094345
376,103606.0,829900.0,2568.0,6097,06073013604,6636.0,590900.0,1980.0,90139.0,0.04589357369108912
377,157344.0,937500.0,3021.0,6286,06073013605,6227.0,650500.0,1800.0,118750.0,-0.08276545311849709
378,80885.0,743600.0,2355.0,2301,06073013607,2539.0,482200.0,1826.0,77708.0,0.042141787942735
379,84926.0,666000.0,2329.0,3881,06073013608,3941.0,482200.0,1826.0,77708.0,0.058706725048392416
380,120464.0,833100.0,1707.0,2393,06073013701,2433.0,622700.0,1177.0,91979.0,0.010795769867607708
381,92566.0,723100.0,1921.0,5417,06073013702,5528.0,489500.0,1577.0,64022.0,-0.01431096339650803
382,82404.0,694300.0,1715.0,5522,06073013801,4946.0,458800.0,1210.0,68484.0,-0.036345355403038626
383,79583.0,422600.0,2094.0,3261,06073013802,3523.0,268000.0,1552.0,54077.0,-0.0066105848022466815
384,128289.0,670900.0,2963.0,3928,06073013903,4299.0,438900.0,2458.0,74750.0,-0.044083897284418694
385,127019.0,638200.0,3208.0,4748,06073013905,3897.0,479099.0,2464.0,87297.0,-0.0582783409413903
386,70833.0,489000.0,1660.0,5022,06073013906,5291.0,394100.0,1239.0,53409.0,0.04707006572440535
387,59621.0,504700.0,1531.0,3718,06073013907,4670.0,438700.0,1191.0,49299.0,0.13404792255270948
388,87188.0,592200.0,1711.0,4133,06073013908,4120.0,415500.0,1308.0,70250.0,0.02208661422162435
389,96767.0,603900.0,1461.0,4872,06073013909,5068.0,387300.0,1381.0,64500.0,0.007201660604635757
390,78529.0,663100.0,2090.0,5064,06073014001,4500.0,449700.0,1383.0,63638.0,-0.07577870715336082
391,77500.0,634400.0,1736.0,4132,06073014002,5051.0,450200.0,1125.0,86302.0,0.11729619988873463
392,98750.0,582600.0,2208.0,4050,06073014101,3370.0,419800.0,1410.0,69306.0,-0.1018874361688305
393,103617.0,674700.0,2156.0,3368,06073014102,4198.0,426800.0,1318.0,64330.0,-0.09063514608794881
394,104693.0,681000.0,1966.0,7177,06073014200,6670.0,438753.0,1544.0,80523.0,-0.0350596909463531
395,87547.0,627300.0,1779.0,4510,06073014300,4131.0,395200.0,1383.0,63304.0,-0.06418619383380433
