,statefp,countyfp,tractce,blkgrpce,TOTPOP_C_1,TOTPOP_F_1,MEDVAL_C_1,MEDVAL_F_1,MEDHINC__1,MEDHINC__2,MEDCRNT_CY,MEDCRNT_FY,GENTRIFICATION
1326,06,073,019103,1,1450,1424,968750,1159389,204125,222742,2833,3104,-0.024574125230202568
1327,06,073,020021,2,1131,1097,875000,941327,121583,140597,2369,2353,-0.040170349907918984
1328,06,073,013505,3,1103,1267,841160,863229,113183,120990,1095,1232,-0.03090469613259668
1329,06,073,020811,3,2016,1968,792793,857436,188928,206703,3065,3152,-0.0555363720073665
1330,06,073,010402,3,2378,2330,979167,1574561,71583,79895,1838,1925,0.06537753222836093
1331,06,073,011801,3,896,874,1000000,1216216,58684,70031,2114,2668,0.040055248618784525
1332,06,073,013102,3,2267,2374,482143,775000,65128,71280,2121,2186,0.04362338858195211
1333,06,073,013104,4,1145,1126,827830,875000,55994,61457,2016,2133,-0.055881675874769776
1334,06,073,013411,4,1037,1006,948087,944661,183533,197544,2984,3170,-0.06975138121546962
1335,06,073,020811,1,1651,1618,836781,908041,154687,171466,2259,3375,0.08575046040515653
1336,06,073,020811,2,2094,2052,875000,965385,121766,132837,2750,2750,-0.025494935543278113
1337,06,073,021205,3,2344,2289,943323,994497,84489,96451,2166,2382,-0.03228591160220996
1338,06,073,021206,1,1820,1843,982955,1177907,145717,155578,2769,2880,-0.02699125230202576
1339,06,073,021304,1,1615,1647,1095519,1259821,147586,161859,3100,3237,-0.001784069981583758
1340,06,073,020500,2,1958,2053,798701,857609,74139,82810,1914,2111,-0.03746546961325965
1341,06,073,020807,1,2184,2146,897804,946742,132008,152778,2244,2415,-0.029811233885819494
1342,06,073,016901,2,1234,1207,880929,913462,150000,162580,1764,1764,-0.06129143646408838
1343,06,073,020108,3,1687,1643,454545,667308,76616,81517,2038,2150,-0.003913443830570892
1344,06,073,016901,3,1468,1439,856383,916667,168045,187438,1247,1343,-0.012833793738489876
1345,06,073,015502,2,1554,1510,911170,1127888,152306,176488,2691,3083,0.013984806629834201
1346,06,073,017701,1,952,1079,2000001,2000001,227731,253938,2425,2424,-0.027451657458563504
1347,06,073,017701,2,940,916,2000001,2000001,151425,170214,3375,3372,-0.027624309392265144
1348,06,073,017801,1,1693,1722,1284483,1390426,222497,247010,2485,3280,0.044659300184162115
1349,06,073,017701,4,945,941,2000001,2000001,161227,167435,3501,2854,-0.09328959484346222
1350,06,073,017305,2,699,689,1716667,1764706,192318,211912,3501,3501,-0.013409300184162034
1351,06,073,017305,3,1165,1182,1773529,2000001,159969,172058,3260,3269,4.163336342344337e-17
1352,06,073,017306,1,1698,1659,2000001,2000001,205864,221067,3391,3481,-0.01651703499079188
1353,06,073,017306,2,1134,1154,2000001,2000001,253642,269027,689,1153,0.005927716390423605
1354,06,073,017501,1,510,492,1731707,1769231,206152,221411,3501,3501,-0.01243093922651935
1355,06,073,017601,1,1198,1238,1543478,1977011,175812,209518,3501,3501,0.012085635359116026
1356,06,073,017702,1,1116,1098,1766667,2000001,104643,122853,2152,3086,0.08995165745856352
1357,06,073,017702,3,940,962,1962500,2000001,164243,177152,3363,3352,-0.007826887661141799
1358,06,073,017601,2,1858,1862,2000001,2000001,202262,238677,3501,3501,-0.011567679558011024
1359,06,073,017603,1,1031,1009,1969388,2000001,182467,202080,3315,3501,0.01513581952117865
1360,06,073,017603,2,1405,1398,2000001,2000001,211000,225213,3405,3411,-0.021178637200736622
